# repo=endojs/endo-but-for-bots commit=eb47ab6749b12dcdec261e5a2373200038b5c3e2 generator=export-index/1
# name	specifier	package	def	kind	arity	shape	tokens	private
LayerInterface	@endo/platform/fs/extended	@endo/platform	packages/platform/src/fs/extended/layer.js:69	const				0
LayerInterface	@endo/platform/fs/extended/types-index.js	@endo/platform	packages/platform/src/fs/extended/layer.js:69	const				0
LockInterface	@endo/platform/fs/extended	@endo/platform	packages/platform/src/fs/extended/type-guards.js:373	const				0
LockInterface	@endo/platform/fs/extended/types-index.js	@endo/platform	packages/platform/src/fs/extended/type-guards.js:373	const				0
MAX_ACTIVE_CEILING	@endo/reminder/src/scheduler.js	@endo/reminder	packages/reminder/src/scheduler.js:44	const				1
MAX_BATCH_SIZE	@endo/platform/fs	@endo/platform	packages/platform/src/fs/search.js:69	const				0
MAX_BATCH_SIZE	@endo/platform/fs/lite	@endo/platform	packages/platform/src/fs/search.js:69	const				0
MAX_BATCH_SIZE	@endo/platform/fs/node	@endo/platform	packages/platform/src/fs/search.js:69	const				0
MAX_BATCH_SIZE	@endo/platform/fs/search	@endo/platform	packages/platform/src/fs/search.js:69	const				0
MAX_COALESCED_MESSAGES	@endo/reminder/src/scheduler.js	@endo/reminder	packages/reminder/src/scheduler.js:56	const				1
MAX_PERIOD_MS	@endo/reminder/src/scheduler.js	@endo/reminder	packages/reminder/src/scheduler.js:47	const				1
MIN_DATA_BUFFER_LENGTH	@endo/captp	@endo/captp	packages/captp/src/atomics.js:5	const				0
MIN_TRANSFER_BUFFER_LENGTH	@endo/captp	@endo/captp	packages/captp/src/atomics.js:10	const				0
MSG_AUTH_FAIL	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:15	const				1
MSG_AUTH_OK	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:14	const				1
MSG_CHALLENGE	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:12	const				1
MSG_CLOSE	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:23	const				1
MSG_DATA	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:22	const				1
MSG_HELLO	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:11	const				1
MSG_INCOMING	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:19	const				1
MSG_OPEN	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:18	const				1
MSG_OPENED	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:20	const				1
MSG_OPEN_FAILED	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:21	const				1
MSG_PEER_GONE	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:24	const				1
MSG_RESPONSE	@endo/relay-server/protocol.js	@endo/relay-server	packages/relay-server/src/protocol.js:13	const				1
MarkdownFragment	@endo/spaces-util	@endo/spaces-util	packages/spaces-util/src/markdown-vnodes.js:475	const-function	2	aaa72182d781	21	1
MarkdownFragment	@endo/spaces-util/markdown-vnodes.js	@endo/spaces-util	packages/spaces-util/src/markdown-vnodes.js:475	const-function	2	aaa72182d781	21	1
MethodNotAllowedError	@endo/http-confine	@endo/http-confine	packages/http-confine/src/http-confine.js:93	const				0
MethodNotAllowedError	@endo/http-confine/src/http-confine.js	@endo/http-confine	packages/http-confine/src/http-confine.js:93	const				0
ModuleSource	@endo/module-source	@endo/module-source	packages/module-source/src-xs/index.js:46	const				0
ModuleSource	@endo/module-source	@endo/module-source	packages/module-source/src/module-source.js:49	function	2	11b4a443e908	114	0
MountControlInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:782	const				1
MountEntryInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:772	const				1
MountFileInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:753	const				1
MountHandleInterface	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:192	const				1
MountInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:661	const				1
MountModeShape	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:36	const				1
MountSpecShape	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:50	const				1
NETWORKS	@endo/x402	@endo/x402	packages/x402/src/constants.js:42	const				1
NETWORKS	@endo/x402/src/constants.js	@endo/x402	packages/x402/src/constants.js:42	const				1
NameOrPathShape	@endo/daemon/type-guards.js	@endo/daemon	packages/daemon/src/type-guards.js:29	const				1
NamePathShape	@endo/daemon/type-guards.js	@endo/daemon	packages/daemon/src/type-guards.js:25	const				1
NameShape	@endo/daemon/type-guards.js	@endo/daemon	packages/daemon/src/type-guards.js:21	const				1
NamesOrPathsShape	@endo/daemon/type-guards.js	@endo/daemon	packages/daemon/src/type-guards.js:33	const				1
Nat	@endo/nat	@endo/nat	packages/nat/src/index.js:97	const-function	1	ae5deba34e95	70	0
NetworkProfileShape	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:15	const				1
NodeWatcherInterface	@endo/platform/fs/extended	@endo/platform	packages/platform/src/fs/extended/type-guards.js:394	const				0
NodeWatcherInterface	@endo/platform/fs/extended/types-index.js	@endo/platform	packages/platform/src/fs/extended/type-guards.js:394	const				0
ONE_N	@endo/nat	@endo/nat	packages/nat/src/index.js:49	const				0
OUTLINER_DRAG_MIME	@endo/space-channel/outliner/outliner-structure.js	@endo/space-channel	packages/space-channel/src/outliner/outliner-structure.js:20	const				1
OcapnPeerCodec	@endo/ocapn/components	@endo/ocapn	packages/ocapn/src/codecs/components.js:39	const				0
OcapnPreSessionOperationsCodecs	@endo/ocapn/operations	@endo/ocapn	packages/ocapn/src/codecs/operations.js:70	const				0
OcapnPublicKeyCodec	@endo/ocapn/components	@endo/ocapn	packages/ocapn/src/codecs/components.js:138	const				0
OcapnSignatureCodec	@endo/ocapn/components	@endo/ocapn	packages/ocapn/src/codecs/components.js:95	const				0
OpenFileInterface	@endo/platform/fs/extended	@endo/platform	packages/platform/src/fs/extended/type-guards.js:347	const				0
OpenFileInterface	@endo/platform/fs/extended/types-index.js	@endo/platform	packages/platform/src/fs/extended/type-guards.js:347	const				0
OriginNotAllowedError	@endo/http-confine	@endo/http-confine	packages/http-confine/src/http-confine.js:88	const				0
OriginNotAllowedError	@endo/http-confine/src/http-confine.js	@endo/http-confine	packages/http-confine/src/http-confine.js:88	const				0
OutlinerRoot	@endo/space-channel	@endo/space-channel	packages/space-channel/src/outliner/outliner-root.js:109	const-function	1	e15ea966369e	52	1
OutlinerRoot	@endo/space-channel/outliner/outliner-root.js	@endo/space-channel	packages/space-channel/src/outliner/outliner-root.js:109	const-function	1	e15ea966369e	52	1
OutlinerRoot	@endo/space-channel/outliner/outliner-structure.js	@endo/space-channel	packages/space-channel/src/outliner/outliner-structure.js:1017	const-function	1	62f3e3d38988	168	1
PASS_STYLE	@endo/pass-style	@endo/pass-style	packages/pass-style/src/passStyle-helpers.js:85	const				0
PREFIXED_SYN_LENGTH	@endo/ocapn-noise	@endo/ocapn-noise	packages/ocapn-noise/src/bindings.js:73	const				1
PanicEndowmentSymbol	@endo/panic	@endo/panic	packages/panic/index.js:2	const				0
PassStyleOfEndowmentSymbol	@endo/pass-style/endow.js	@endo/pass-style	packages/pass-style/src/passStyleOf.js:217	const				0
PassableBytesReaderInterface	@endo/exo-stream/type-guards.js	@endo/exo-stream	packages/exo-stream/type-guards.js:101	const				0
PassableBytesWriterInterface	@endo/exo-stream/type-guards.js	@endo/exo-stream	packages/exo-stream/type-guards.js:124	const				0
PassableReaderInterface	@endo/exo-stream/type-guards.js	@endo/exo-stream	packages/exo-stream/type-guards.js:29	const				0
PassableWriterInterface	@endo/exo-stream/type-guards.js	@endo/exo-stream	packages/exo-stream/type-guards.js:81	const				0
PathEntryInterface	@endo/platform/fs	@endo/platform	packages/platform/src/fs/interfaces.js:218	const				0
PathEntryInterface	@endo/platform/fs/lite	@endo/platform	packages/platform/src/fs/interfaces.js:218	const				0
PathEntryInterface	@endo/platform/fs/node	@endo/platform	packages/platform/src/fs/interfaces.js:218	const				0
PathEntryIssuerInterface	@endo/platform/fs	@endo/platform	packages/platform/src/fs/interfaces.js:229	const				0
PathEntryIssuerInterface	@endo/platform/fs/lite	@endo/platform	packages/platform/src/fs/interfaces.js:229	const				0
PathEntryIssuerInterface	@endo/platform/fs/node	@endo/platform	packages/platform/src/fs/interfaces.js:229	const				0
PeerGatewayInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:70	const				1
PeersView	@endo/space-peers	@endo/space-peers	packages/space-peers/src/peers.js:327	const-function	1	123ec35d45ca	377	1
PosixFsInterface	@endo/platform/fs/extended	@endo/platform	packages/platform/src/fs/extended/posix-fs.js:46	const				0
PosixFsInterface	@endo/platform/fs/extended/types-index.js	@endo/platform	packages/platform/src/fs/extended/posix-fs.js:46	const				0
ProcessHandleInterface	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:178	const				1
QCLASS	@endo/marshal	@endo/marshal	packages/marshal/src/encodeToCapData.js:39	const				0
QT	@endo/9p-server	@endo/9p-server	packages/9p-server/src/types.js:66	const				1
